npi1,npi2,paircount,benecount,samedaycount
1841245388,1053487587,55,14,0
1841245388,1093887358,240,26,0
1841245388,1215939871,51,13,0
1841245388,1720062524,116,13,0
1841245388,1740275981,226,11,0
1841245388,1770581084,2412,56,0
1841245685,1023069622,14,12,0
1841245685,1023168457,19,14,0
1841245685,1053363119,90,57,0
1841245685,1104923184,18,11,0
1841245685,1154318889,34,16,0
1841245685,1326125626,15,11,0
1841245685,1356660534,49,12,0
1841245685,1427068170,38,17,0
1841245685,1528006020,29,21,0
1841245685,1528062429,18,15,0
1841245685,1538296215,75,17,0
1841245685,1548213077,842,499,0
1841245685,1578557294,19,12,0
1841245685,1629015722,765,439,0
1841245685,1649280058,25,14,0
1841245685,1669475166,17,14,0
1841245685,1730129131,22,14,0
1841245685,1861527079,25,11,4
1841245685,1871665067,30,16,0
1841245685,1891782074,19,11,0
1841245685,1902936412,27,17,4
1841245685,1952348047,24,15,1
1841245685,1982794434,22,11,2
1841262201,1053363119,2155,41,0
1841262201,1376766253,55,15,0
1841262201,1528006020,131,22,0
1841262201,1952348047,51,11,17
1841267580,1033184023,101,28,0
1841267580,1053491019,192,21,0
1841267580,1154373769,65,17,0
1841267580,1154460194,135,15,0
1841267580,1164537544,78,29,0
1841267580,1184665663,2227,186,0
1841267580,1194980680,107,21,0
1841267580,1205161387,39,13,0
1841267580,1255302717,239,28,0
1841267580,1306010962,174,44,0
1841267580,1346228517,43,16,0
1841267580,1366641060,55,22,0
1841267580,1447227152,127,20,0
1841267580,1477553139,128,21,0
1841267580,1487847828,39,12,0
1841267580,1508187360,46,12,0
1841267580,1508831744,49,11,0
1841267580,1508970971,95,26,0
1841267580,1609841006,52,14,0
1841267580,1649389503,114,13,0
1841267580,1700991163,75,33,0
1841267580,1710048079,43,12,0
1841267580,1740395110,54,20,0
1841267580,1831177187,48,15,0
1841267580,1841305208,99,31,28
1841267580,1881646495,66,21,3
1841267580,1891761201,168,35,18
1841267580,1891999272,121,20,6
1841267580,1952383226,141,24,10
1841267580,1962524355,53,12,2
1841276102,1033144639,32,11,0
1841276102,1235228859,32,12,0
1841276102,1437368891,688,71,0
1841283256,1053363119,46,22,0
1841283256,1528006020,21,13,0
1841287273,1023153103,62,25,0
1841287273,1033184536,59,15,0
1841287273,1043207533,101,17,0
1841287273,1053491019,126,44,0
1841287273,1083819460,94,15,0
1841287273,1104185214,21,11,0
1841287273,1114912094,31,11,0
1841287273,1154318582,169,21,0
1841287273,1154373769,55,21,0
1841287273,1154460194,151,23,0
1841287273,1164537544,61,30,0
1841287273,1174598684,56,17,0
1841287273,1184665663,1714,267,0
1841287273,1194980680,149,33,0
1841287273,1225190143,137,48,0
1841287273,1245239524,59,15,0
1841287273,1245491125,89,13,0
1841287273,1255302717,121,44,0
1841287273,1265470298,24,15,0
1841287273,1306010962,134,57,0
1841287273,1306811732,27,12,0
1841287273,1326035759,93,26,0
1841287273,1326035809,131,28,0
1841287273,1366641060,93,27,0
1841287273,1417111865,100,15,0
1841287273,1447227152,28,11,0
1841287273,1447236823,54,14,0
1841287273,1447247770,105,24,0
1841287273,1447247929,170,32,0
1841287273,1457552903,32,15,0
1841287273,1477553139,127,47,0
1841287273,1487799110,63,28,0
1841287273,1508187360,53,11,0
1841287273,1508970971,80,34,0
1841287273,1588651053,113,16,0
1841287273,1700991163,171,71,0
1841287273,1720039076,70,25,0
1841287273,1740395110,95,35,0
1841287273,1760602866,78,33,0
1841287273,1790736981,98,13,0
1841287273,1841305208,162,60,40
1841287273,1871754473,63,18,41
1841287273,1881646495,27,16,2
